dwr_id,dau,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Shrub/Scrub,Woody Wetlands
100_100,176,0.04,,,,,,,0.00,0.41,0.01,,,,,0.54,
100_100,194,0.10,,,,,,,,0.00,0.04,,,,,0.85,
100_101,176,0.08,,,,,,,0.00,0.64,0.01,,0.00,,,0.27,
100_101,194,0.26,,,,0.00,,0.01,,0.13,0.00,,,,,0.60,
100_102,176,0.03,,,,0.00,,0.00,,0.80,0.00,,,,,0.16,
100_102,194,0.03,,,,0.01,,0.06,0.01,0.55,0.00,,0.00,,,0.33,
100_103,176,0.08,,,,0.00,,0.01,0.00,0.57,0.01,,,,,0.33,
100_103,194,,,,,,,,,,,,,,,1.00,
100_104,176,0.10,,,,,,,0.00,0.56,0.02,,,,,0.32,
100_104,194,0.35,,,,,,,,,0.04,,,,,0.61,
100_105,176,0.08,,,,,,,,0.43,0.01,,,,,0.48,
100_105,270,0.21,,0.00,,,,,,0.26,0.01,,0.00,,,0.52,
100_106,176,0.22,,,,,,,,0.50,,,,,,0.28,
100_106,270,0.12,,0.00,,,,,0.00,0.37,0.01,,0.00,,,0.50,
100_107,270,0.05,,0.00,,,,,,0.46,0.01,,,,,0.49,
100_108,270,0.00,,,,,,,0.00,0.48,0.02,,,,,0.50,
100_109,270,,,0.00,,,,,0.00,0.52,0.00,0.00,,,,0.48,
100_110,270,0.00,,0.01,,,,,,0.39,0.00,0.00,,,,0.60,
100_111,270,0.00,,0.00,,,,,0.00,0.08,0.09,,,0.11,,0.71,0.00
100_112,270,0.00,,,,0.03,0.00,0.04,0.00,0.01,0.21,,,0.07,,0.64,
100_113,270,,,,,,,,,0.13,0.06,,,,,0.81,
100_114,270,,,0.00,,,,,,0.03,0.06,,,,,0.90,
100_115,270,,,0.00,,,,,,0.02,0.07,,,,,0.92,
100_115,no data,,,,,,,,,0.03,,,,,,0.97,
100_116,270,,,0.00,,,,,,0.78,0.03,0.02,,,,0.17,
100_116,no data,,,0.00,,,,,,0.74,0.01,0.01,,,,0.24,
100_31,019,0.01,,0.00,,0.05,,0.09,,0.23,0.43,0.01,0.00,,,0.18,
100_31,no data,0.00,,,,,,,0.02,,0.00,,0.97,,,0.00,
100_32,019,0.00,,0.01,,0.00,,0.04,,0.47,0.27,0.04,0.00,,,0.15,0.00
100_32,035,,,,,,,,,0.14,0.76,,,,,0.10,
100_32,no data,0.03,,,,0.00,,,,,0.00,,0.96,,,0.01,
100_33,019,,,0.02,,,,,,0.63,0.10,0.11,,,,0.14,
100_33,035,,,0.02,,,,,,0.87,0.02,0.03,,,,0.06,
100_34,035,0.00,,0.01,0.00,0.01,0.00,0.06,0.00,0.75,0.02,0.08,0.01,,,0.04,0.01
100_35,035,0.00,,0.01,,0.02,0.00,0.19,0.00,0.67,0.01,0.04,0.03,,,0.02,0.00
100_36,035,,,0.01,,0.00,,0.05,,0.87,0.03,0.02,0.00,,,0.03,
100_37,035,0.00,,0.04,0.00,0.03,0.01,0.16,0.00,0.49,0.11,0.07,0.01,,,0.07,0.01
100_38,035,0.00,0.34,0.03,,0.03,0.01,0.14,0.00,0.05,0.23,0.08,0.01,,,0.08,0.01
100_38,036,,0.16,0.02,,0.02,0.00,0.10,,0.04,0.31,0.12,,,,0.22,0.00
100_39,036,0.00,0.57,0.00,0.00,0.07,0.01,0.08,,0.01,0.17,0.02,0.00,0.03,,0.04,0.01
100_40,036,0.00,0.58,,0.01,0.13,0.06,0.11,,0.00,0.09,0.00,0.00,,,0.01,0.00
100_41,036,,0.04,0.01,0.03,0.19,0.17,0.21,,0.03,0.15,0.09,0.01,,,0.09,0.00
100_42,036,,,0.01,0.00,0.15,0.06,0.26,,0.09,0.22,0.07,,,,0.13,
100_43,036,,,0.02,0.00,0.03,0.04,0.06,,0.29,0.23,0.11,,,,0.23,
