dwr_id,dau,major,fraction
100_100,176,Barren,0.04
100_100,176,Forest,0.41
100_100,176,Herbaceous,0.01
100_100,176,Shrubland,0.54
100_100,176,Wetlands,0.00
100_100,194,Barren,0.10
100_100,194,Forest,0.00
100_100,194,Herbaceous,0.04
100_100,194,Shrubland,0.85
100_101,176,Barren,0.08
100_101,176,Forest,0.64
100_101,176,Herbaceous,0.01
100_101,176,Shrubland,0.27
100_101,176,Water,0.00
100_101,176,Wetlands,0.00
100_101,194,Barren,0.26
100_101,194,Developed,0.01
100_101,194,Forest,0.13
100_101,194,Herbaceous,0.00
100_101,194,Shrubland,0.60
100_102,176,Barren,0.03
100_102,176,Developed,0.01
100_102,176,Forest,0.80
100_102,176,Herbaceous,0.00
100_102,176,Shrubland,0.16
100_102,194,Barren,0.03
100_102,194,Developed,0.07
100_102,194,Forest,0.55
100_102,194,Herbaceous,0.00
100_102,194,Shrubland,0.33
100_102,194,Water,0.00
100_102,194,Wetlands,0.01
100_103,176,Barren,0.08
100_103,176,Developed,0.02
100_103,176,Forest,0.57
100_103,176,Herbaceous,0.01
100_103,176,Shrubland,0.33
100_103,176,Wetlands,0.00
100_103,194,Shrubland,1.00
100_104,176,Barren,0.10
100_104,176,Forest,0.56
100_104,176,Herbaceous,0.02
100_104,176,Shrubland,0.32
100_104,176,Wetlands,0.00
100_104,194,Barren,0.35
100_104,194,Herbaceous,0.04
100_104,194,Shrubland,0.61
100_105,176,Barren,0.08
100_105,176,Forest,0.43
100_105,176,Herbaceous,0.01
100_105,176,Shrubland,0.48
100_105,270,Barren,0.21
100_105,270,Forest,0.26
100_105,270,Herbaceous,0.01
100_105,270,Shrubland,0.52
100_105,270,Water,0.00
100_106,176,Barren,0.22
100_106,176,Forest,0.50
100_106,176,Shrubland,0.28
100_106,270,Barren,0.12
100_106,270,Forest,0.37
100_106,270,Herbaceous,0.01
100_106,270,Shrubland,0.50
100_106,270,Water,0.00
100_106,270,Wetlands,0.00
100_107,270,Barren,0.05
100_107,270,Forest,0.46
100_107,270,Herbaceous,0.01
100_107,270,Shrubland,0.49
100_108,270,Barren,0.00
100_108,270,Forest,0.48
100_108,270,Herbaceous,0.02
100_108,270,Shrubland,0.50
100_108,270,Wetlands,0.00
100_109,270,Forest,0.52
100_109,270,Herbaceous,0.00
100_109,270,Shrubland,0.48
100_109,270,Wetlands,0.00
100_110,270,Barren,0.00
100_110,270,Barren,0.00
100_110,270,Forest,0.42
100_110,270,Forest,0.37
100_110,270,Herbaceous,0.00
100_110,270,Herbaceous,0.00
100_110,270,Shrubland,0.58
100_110,270,Shrubland,0.63
100_111,270,Barren,0.00
100_111,270,Forest,0.09
100_111,270,Herbaceous,0.09
100_111,270,Planted/Cultivated,0.11
100_111,270,Shrubland,0.71
100_111,270,Wetlands,0.00
100_112,270,Barren,0.00
100_112,270,Developed,0.07
100_112,270,Forest,0.01
100_112,270,Herbaceous,0.21
100_112,270,Planted/Cultivated,0.07
100_112,270,Shrubland,0.64
100_112,270,Wetlands,0.00
100_113,270,Forest,0.13
100_113,270,Herbaceous,0.06
100_113,270,Shrubland,0.81
100_114,270,Forest,0.03
100_114,270,Herbaceous,0.06
100_114,270,Shrubland,0.90
100_115,270,Forest,0.02
100_115,270,Herbaceous,0.07
100_115,270,Shrubland,0.92
100_115,no data,Forest,0.03
100_115,no data,Shrubland,0.97
100_116,270,Forest,0.80
100_116,270,Herbaceous,0.03
100_116,270,Shrubland,0.17
100_116,no data,Forest,0.75
100_116,no data,Herbaceous,0.01
100_116,no data,Shrubland,0.24
100_31,019,Barren,0.01
100_31,019,Developed,0.14
100_31,019,Forest,0.25
100_31,019,Herbaceous,0.43
100_31,019,Shrubland,0.18
100_31,019,Water,0.00
100_31,no data,Barren,0.00
100_31,no data,Herbaceous,0.00
